,Publication
28,"Holsti MA, Chitnis T, Panzo RJ, Bronson RT, Yagita H, Sayegh MH, Tzianabos AO. 2004. ""Regulation of postsurgical fibrosis by the programmed death-1 inhibitory pathway."" , Journal of immunology (Baltimore, Md. : 1950), vol.172, no.9, pp-5774-81"
29,"Ansari MJ, Sayegh MH. 2004. ""Clinical transplantation tolerance: the promise and challenges."" , Kidney international, vol.65, no.5, pp-1560-3"
30,"Frank MH, Sayegh MH. 2004. ""Immunomodulatory functions of mesenchymal stem cells."" , Lancet, vol.363, no.9419, pp-1411-2"
31,"Makhlouf L, Grey ST, Dong V, Csizmadia E, Arvelo MB, Auchincloss H, Ferran C, Sayegh MH. 2004. ""Depleting anti-CD4 monoclonal antibody cures new-onset diabetes, prevents recurrent autoimmune diabetes, and delays allograft rejection in nonobese diabetic mice."" , Transplantation, vol.77, no.7, pp-990-7"
32,"Womer KL, Sayegh MH. 2004. ""Donor antigen and transplant tolerance strategies: it takes two to tango!"" , Journal of the American Society of Nephrology : JASN, vol.15, no.4, pp-1101-3"
33,"Chitnis T, Salama AD, Grusby MJ, Sayegh MH, Khoury SJ. 2004. ""Defining Th1 and Th2 immune responses in a reciprocal cytokine environment in vivo."" , Journal of immunology (Baltimore, Md. : 1950), vol.172, no.7, pp-4260-5"
34,"Izawa A, Sayegh MH, Chandraker A. 2004. ""The antagonism of calcineurin inhibitors and costimulatory blockers: fact or fiction?"" , Transplantation proceedings, vol.36, no.2 Suppl, pp-570S-573S"
35,"Demirci G, Amanullah F, Kewalaramani R, Yagita H, Strom TB, Sayegh MH, Li XC. 2004. ""Critical role of OX40 in CD28 and CD154-independent rejection."" , Journal of immunology (Baltimore, Md. : 1950), vol.172, no.3, pp-1691-8"
36,"Abdi R, Means TK, Ito T, Smith RN, Najafian N, Jurewicz M, Tchipachvili V, Charo I, Auchincloss H, Sayegh MH, Luster AD. 2004. ""Differential role of CCR2 in islet and heart allograft rejection: tissue specificity of chemokine/chemokine receptor function in vivo."" , Journal of immunology (Baltimore, Md. : 1950), vol.172, no.2, pp-767-75"
37,"Wu Z, Bensinger SJ, Zhang J, Chen C, Yuan X, Huang X, Markmann JF, Kassaee A, Rosengard BR, Hancock WW, Sayegh MH, Turka LA. 2004. ""Homeostatic proliferation is a barrier to transplantation tolerance."" , Nature medicine, vol.10, no.1, pp-87-92"
38,"Rothstein DM, Sayegh MH. 2003. ""T-cell costimulatory pathways in allograft rejection and tolerance."" , Immunological reviews, vol.196, pp-85-108"
39,"Reinders ME, Sho M, Izawa A, Wang P, Mukhopadhyay D, Koss KE, Geehan CS, Luster AD, Sayegh MH, Briscoe DM. 2003. ""Proinflammatory functions of vascular endothelial growth factor in alloimmunity."" , The Journal of clinical investigation, vol.112, no.11, pp-1655-65"
40,"Ariyan C, Salvalaggio P, Fecteau S, Deng S, Rogozinski L, Mandelbrot D, Sharpe A, Sayegh MH, Basadonna GP, Rothstein DM. 2003. ""Cutting edge: transplantation tolerance through enhanced CTLA-4 expression."" , Journal of immunology (Baltimore, Md. : 1950), vol.171, no.11, pp-5673-7"
41,"Frank NY, Pendse SS, Lapchak PH, Margaryan A, Shlain D, Doeing C, Sayegh MH, Frank MH. 2003. ""Regulation of progenitor cell fusion by ABCB5 P-glycoprotein, a novel human ATP-binding cassette transporter."" , The Journal of biological chemistry, vol.278, no.47, pp-47156-65"
42,"Salama AD, Chaudhry AN, Holthaus KA, Mosley K, Kalluri R, Sayegh MH, Lechler RI, Pusey CD, Lightstone L. 2003. ""Regulation by CD25+ lymphocytes of autoantigen-specific T-cell responses in Goodpasture\'s (anti-GBM) disease."" , Kidney international, vol.64, no.5, pp-1685-94"
43,"Sandner SE, Salama AD, Houser SL, Palmer E, Turka LA, Sayegh MH. 2003. ""New TCR transgenic model for tracking allospecific CD4 T-cell activation and tolerance in vivo."" , American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons, vol.3, no.10, pp-1242-50"
44,"Zheng XX, Sánchez-Fueyo A, Sho M, Domenig C, Sayegh MH, Strom TB. 2003. ""Favorably tipping the balance between cytopathic and regulatory T cells to create transplantation tolerance."" , Immunity, vol.19, no.4, pp-503-14"
45,"Najafian N, Chitnis T, Salama AD, Zhu B, Benou C, Yuan X, Clarkson MR, Sayegh MH, Khoury SJ. 2003. ""Regulatory functions of CD8+CD28- T cells in an autoimmune disease model."" , The Journal of clinical investigation, vol.112, no.7, pp-1037-48"
46,"Lakkis FG, Sayegh MH. 2003. ""Memory T cells: a hurdle to immunologic tolerance."" , Journal of the American Society of Nephrology : JASN, vol.14, no.9, pp-2402-10"
47,"Makhlouf L, Duvivier-Kali VF, Bonner-Weir S, Dieperink H, Weir GC, Sayegh MH. 2003. ""Importance of hyperglycemia on the primary function of allogeneic islet transplants."" , Transplantation, vol.76, no.4, pp-657-64"
48,"Pendse S, Sayegh MH, Frank MH. 2003. ""P-glycoprotein--a novel therapeutic target for immunomodulation in clinical transplantation and autoimmunity?"" , Current drug targets, vol.4, no.6, pp-469-76"
49,"Makhlouf L, Yamada A, Ito T, Abdi R, Ansari MJ, Khuong CQ, Winn HJ, Auchincloss H, Sayegh MH. 2003. ""Allorecognition and effector pathways of islet allograft rejection in normal versus nonobese diabetic mice."" , Journal of the American Society of Nephrology : JASN, vol.14, no.8, pp-2168-75"
50,"Salama AD, Chitnis T, Imitola J, Ansari MJ, Akiba H, Tushima F, Azuma M, Yagita H, Sayegh MH, Khoury SJ. 2003. ""Critical role of the programmed death-1 (PD-1) pathway in regulation of experimental autoimmune encephalomyelitis."" , The Journal of experimental medicine, vol.198, no.1, pp-71-8"
51,"Ansari MJ, Salama AD, Chitnis T, Smith RN, Yagita H, Akiba H, Yamazaki T, Azuma M, Iwai H, Khoury SJ, Auchincloss H, Sayegh MH. 2003. ""The programmed death-1 (PD-1) pathway regulates autoimmune diabetes in nonobese diabetic (NOD) mice."" , The Journal of experimental medicine, vol.198, no.1, pp-63-9"
52,"Harada H, Salama AD, Sho M, Izawa A, Sandner SE, Ito T, Akiba H, Yagita H, Sharpe AH, Freeman GJ, Sayegh MH. 2003. ""The role of the ICOS-B7h T cell costimulatory pathway in transplantation immunity."" , The Journal of clinical investigation, vol.112, no.2, pp-234-43"
53,"Salama AD, Najafian N, Clarkson MR, Harmon WE, Sayegh MH. 2003. ""Regulatory CD25+ T cells in human kidney transplant recipients."" , Journal of the American Society of Nephrology : JASN, vol.14, no.6, pp-1643-51"
54,"Salama AD, Sayegh MH. 2003. ""Alternative T-cell costimulatory pathways in transplant rejection and tolerance induction: hierarchy or redundancy?"" , American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons, vol.3, no.5, pp-509-11"
55,"Sho M, Harada H, Rothstein DM, Sayegh MH. 2003. ""CD45RB-targeting strategies for promoting long-term allograft survival and preventingchronic allograft vasculopathy."" , Transplantation, vol.75, no.8, pp-1142-6"
56,"Salama AD, Yuan X, Nayer A, Chandraker A, Inobe M, Uede T, Sayegh MH. 2003. ""Interaction between ICOS-B7RP1 and B7-CD28 costimulatory pathways in alloimmune responses in vivo."" , American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons, vol.3, no.4, pp-390-5"
57,"Sayegh MH, Wu Z, Hancock WW, Langmuir PB, Mata M, Sandner S, Kishimoto K, Sho M, Palmer E, Mitchell RN, Turka LA. 2003. ""Allograft rejection in a new allospecific CD4+ TCR transgenic mouse."" , American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons, vol.3, no.4, pp-381-9"
58,"Murphy B, Yu J, Jiao Q, Lin M, Chitnis T, Sayegh MH. 2003. ""A novel mechanism for the immunomodulatory functions of class II MHC-derived peptides."" , Journal of the American Society of Nephrology : JASN, vol.14, no.4, pp-1053-65"
59,"Zhai Y, Meng L, Busuttil RW, Sayegh MH, Kupiec-Weglinski JW. 2003. ""Activation of alloreactive CD8+ T cells operates via CD4-dependent and CD4-independent mechanisms and is CD154 blockade sensitive."" , Journal of immunology (Baltimore, Md. : 1950), vol.170, no.6, pp-3024-8"
60,"Yuan X, Salama AD, Dong V, Schmitt I, Najafian N, Chandraker A, Akiba H, Yagita H, Sayegh MH. 2003. ""The role of the CD134-CD134 ligand costimulatory pathway in alloimmune responses in vivo."" , Journal of immunology (Baltimore, Md. : 1950), vol.170, no.6, pp-2949-55"
61,"Sayegh MH, Colvin RB. 2003. ""Case record of the Massachusetts General Hospital. Weekly clinicopathological exercises. Case 8-2003. A 35-year-old man with early dysfunction of a second renal transplant."" , The New England journal of medicine, vol.348, no.11, pp-1033-44"
62,"Chung DR, Kasper DL, Panzo RJ, Chitnis T, Grusby MJ, Sayegh MH, Tzianabos AO, Chtinis T. 2003. ""CD4+ T cells mediate abscess formation in intra-abdominal sepsis by an IL-17-dependent mechanism."" , Journal of immunology (Baltimore, Md. : 1950), vol.170, no.4, pp-1958-63"
63,"Yamada A, Laufer TM, Gerth AJ, Chase CM, Colvin RB, Russell PS, Sayegh MH, Auchincloss H. 2003. ""Further analysis of the T-cell subsets and pathways of murine cardiac allograft rejection."" , American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons, vol.3, no.1, pp-23-7"
64,"Sho M, Sandner SE, Najafian N, Salama AD, Dong V, Yamada A, Kishimoto K, Harada H, Schmitt I, Sayegh MH. 2002. ""New insights into the interactions between T-cell costimulatory blockade and conventional immunosuppressive drugs."" , Annals of surgery, vol.236, no.5, pp-667-75"
65,"Makhlouf L, Kishimoto K, Smith RN, Abdi R, Koulmanda M, Winn HJ, Auchincloss H, Sayegh MH. 2002. ""The role of autoimmunity in islet allograft destruction: major histocompatibility complex class II matching is necessary for autoimmune destruction of allogeneic islet transplants after T-cell costimulatory blockade."" , Diabetes, vol.51, no.11, pp-3202-10"
66,"Rolls HK, Kishimoto K, Dong VM, Illigens BM, Sho M, Sayegh MH, Benichou G, Fedoseyeva EV. 2002. ""T-cell response to cardiac myosin persists in the absence of an alloimmune response in recipients with chronic cardiac allograft rejection."" , Transplantation, vol.74, no.7, pp-1053-7"
67,"Illigens BM, Yamada A, Fedoseyeva EV, Anosova N, Boisgerault F, Valujskikh A, Heeger PS, Sayegh MH, Boehm B, Benichou G. 2002. ""The relative contribution of direct and indirect antigen recognition pathways to the alloresponse and graft rejection depends upon the nature of the transplant."" , Human immunology, vol.63, no.10, pp-912-25"
68,"Sho M, Yamada A, Najafian N, Salama AD, Harada H, Sandner SE, Sanchez-Fueyo A, Zheng XX, Strom TB, Sayegh MH. 2002. ""Physiological mechanisms of regulating alloimmunity: cytokines, CTLA-4, CD25+ cells, and the alloreactive T cell clone size."" , Journal of immunology (Baltimore, Md. : 1950), vol.169, no.7, pp-3744-51"
69,"Abdi R, Smith RN, Makhlouf L, Najafian N, Luster AD, Auchincloss H, Sayegh MH. 2002. ""The role of CC chemokine receptor 5 (CCR5) in islet allograft rejection."" , Diabetes, vol.51, no.8, pp-2489-95"
70,"Zhai Y, Shen XD, Gao F, Coito AJ, Wasowska BA, Salama A, Schmitt I, Busuttil RW, Sayegh MH, Kupiec-Weglinski JW. 2002. ""The CD154-CD40 T cell costimulation pathway is required for host sensitization of CD8(+) T cells by skin grafts via direct antigen presentation."" , Journal of immunology (Baltimore, Md. : 1950), vol.169, no.3, pp-1270-6"
71,"Fedoseyeva EV, Kishimoto K, Rolls HK, Illigens BM, Dong VM, Valujskikh A, Heeger PS, Sayegh MH, Benichou G. 2002. ""Modulation of tissue-specific immune response to cardiac myosin can prolong survival of allogeneic heart transplants."" , Journal of immunology (Baltimore, Md. : 1950), vol.169, no.3, pp-1168-74"
72,"Kist-van Holthe JE, Gasser M, Womer K, Najafian N, Dong V, Samsonov DV, Geehan CS, Chandraker A, Sayegh MH, Waaga AM. 2002. ""Regulatory functions of alloreactive Th2 clones in human renal transplant recipients."" , Kidney international, vol.62, no.2, pp-627-31"
73,"Yuan X, Dong VM, Coito AJ, Waaga AM, Salama AD, Benjamin CD, Sayegh MH, Chandraker A. 2002. ""A novel CD154 monoclonal antibody in acute and chronic rat vascularized cardiac allograft rejection."" , Transplantation, vol.73, no.11, pp-1736-42"
74,"Chung DR, Chitnis T, Panzo RJ, Kasper DL, Sayegh MH, Tzianabos AO. 2002. ""CD4+ T cells regulate surgical and postinfectious adhesion formation."" , The Journal of experimental medicine, vol.195, no.11, pp-1471-8"
75,"Salama AD, Sayegh MH. 2002. ""Challenges for the translation of T cell costimulatory blockade therapies to the clinic."" , Expert opinion on biological therapy, vol.2, no.5, pp-453-7"
76,"Arima K, Umeshita-Suyama R, Sakata Y, Akaiwa M, Mao XQ, Enomoto T, Dake Y, Shimazu S, Yamashita T, Sugawara N, Brodeur S, Geha R, Puri RK, Sayegh MH, Adra CN, Hamasaki N, Hopkin JM, Shirakawa T, Izuhara K. 2002. ""Upregulation of IL-13 concentration in vivo by the IL13 variant associated with bronchial asthma."" , The Journal of allergy and clinical immunology, vol.109, no.6, pp-980-7"
77,"Johnston DR, Sayegh MH, Madsen JC. 2002. ""Overcoming cardiac allograft vasculopathy (CAV) by inducing tolerance."" , Frontiers in bioscience : a journal and virtual library, vol.7, pp-e116-8"
78,"Dong VM, Yuan X, Coito AJ, Waaga AM, Sayegh MH, Chandraker A. 2002. ""Mechanisms of targeting CD28 by a signaling monoclonal antibody in acute and chronic allograft rejection."" , Transplantation, vol.73, no.8, pp-1310-7"
79,"Briscoe DM, Sayegh MH. 2002. ""A rendezvous before rejection: where do T cells meet transplant antigens?"" , Nature medicine, vol.8, no.3, pp-220-2"
80,"Yamada A, Salama AD, Sayegh MH. 2002. ""The role of novel T cell costimulatory pathways in autoimmunity and transplantation."" , Journal of the American Society of Nephrology : JASN, vol.13, no.2, pp-559-75"
81,"Laskowski IA, Pratschke J, Wilhelm MJ, Dong VM, Beato F, Taal M, Gasser M, Hancock WW, Sayegh MH, Tilney NL. 2002. ""Anti-CD28 monoclonal antibody therapy prevents chronic rejection of renal allografts in rats."" , Journal of the American Society of Nephrology : JASN, vol.13, no.2, pp-519-27"
82,"Yamada And A, Sayegh MH. 2002. ""The CD154-CD40 costimulatory pathway in transplantation."" , Transplantation, vol.73, no.1 Suppl, pp-S36-9"
83,"Najafian N, Salama AD, Fedoseyeva EV, Benichou G, Sayegh MH. 2002. ""Enzyme-linked immunosorbent spot assay analysis of peripheral blood lymphocyte reactivity to donor HLA-DR peptides: potential novel assay for prediction of outcomes for renal transplant recipients."" , Journal of the American Society of Nephrology : JASN, vol.13, no.1, pp-252-9"
84,"Donato JL, Ko J, Kutok JL, Cheng T, Shirakawa T, Mao XQ, Beach D, Scadden DT, Sayegh MH, Adra CN. 2002. ""Human HTm4 is a hematopoietic cell cycle regulator."" , The Journal of clinical investigation, vol.109, no.1, pp-51-8"
85,"Yamada A, Chandraker A, Laufer TM, Gerth AJ, Sayegh MH, Auchincloss H. 2001. ""Recipient MHC class II expression is required to achieve long-term survival of murine cardiac allografts after costimulatory blockade."" , Journal of immunology (Baltimore, Md. : 1950), vol.167, no.10, pp-5522-6"
86,"Womer KL, Stone JR, Murphy B, Chandraker A, Sayegh MH. 2001. ""Indirect allorecognition of donor class I and II major histocompatibility complex peptides promotes the development of transplant vasculopathy."" , Journal of the American Society of Nephrology : JASN, vol.12, no.11, pp-2500-6"
87,"Sho M, Salama AD, Yamada A, Najafian N, Sayegh MH. 2001. ""Physiologic regulation of alloimmune responses in vivo: the role of CTLA4 and TH1/TH2 cytokines."" , Transplantation proceedings, vol.33, no.7-8, pp-3826-8"
88,"Rolls HK, Kishimoto K, Illigens BM, Dong V, Sayegh MH, Benichou G, Fedoseyeva EV. 2001. ""Detection of cardiac myosin-specific autoimmunity in a model of chronic heart allograft rejection."" , Transplantation proceedings, vol.33, no.7-8, pp-3821-2"
89,"Yamada A, Salama AD, Najafian N, Auchincloss H, Sayegh MH. 2001. ""TNF:TNF-R T-Cell costimulatory pathways in transplantation."" , Transplantation proceedings, vol.33, no.7-8, pp-3070-1"
90,"Salamam AD, Sayegh MH. 2001. ""Achieving clinical transplant tolerance: what are the hurdles?"" , Transplantation proceedings, vol.33, no.7-8, pp-3038-40"
91,"Salama AD, Remuzzi G, Harmon WE, Sayegh MH. 2001. ""Challenges to achieving clinical transplantation tolerance."" , The Journal of clinical investigation, vol.108, no.7, pp-943-8"
92,"Denton MD, Galvanek EG, Singh A, Sayegh MH. 2001. ""Membranous lupus nephritis in a renal allograft: response to mycophenolate mofetil therapy."" , American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons, vol.1, no.3, pp-288-92"
93,"Reznik SI, Jaramillo A, SivaSai KS, Womer KL, Sayegh MH, Trulock EP, Patterson GA, Mohanakumar T. 2001. ""Indirect allorecognition of mismatched donor HLA class II peptides in lung transplant recipients with bronchiolitis obliterans syndrome."" , American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons, vol.1, no.3, pp-228-35"
94,"Najafian N, Khoury SJ, Sayegh MH. 2001. ""T cell costimulatory blockade as a novel immune intervention in autoimmune diseases."" , Clinics in dermatology, vol.19, no.5, pp-586-91"
95,"Chitnis T, Najafian N, Benou C, Salama AD, Grusby MJ, Sayegh MH, Khoury SJ. 2001. ""Effect of targeted disruption of STAT4 and STAT6 on the induction of experimental autoimmune encephalomyelitis."" , The Journal of clinical investigation, vol.108, no.5, pp-739-47"
96,"Mandelbrot DA, Kishimoto K, Auchincloss H, Sharpe AH, Sayegh MH. 2001. ""Rejection of mouse cardiac allografts by costimulation in trans."" , Journal of immunology (Baltimore, Md. : 1950), vol.167, no.3, pp-1174-8"
97,"Yamada A, Kishimoto K, Dong VM, Sho M, Salama AD, Anosova NG, Benichou G, Mandelbrot DA, Sharpe AH, Turka LA, Auchincloss H, Sayegh MH. 2001. ""CD28-independent costimulation of T cells in alloimmune responses."" , Journal of immunology (Baltimore, Md. : 1950), vol.167, no.1, pp-140-6"
98,"Azuma H, Takahara S, Matsumoto K, Ichimaru N, Wang JD, Moriyama T, Waaga AM, Kitamura M, Otsuki Y, Okuyama A, Katsuoka Y, Chandraker A, Sayegh MH, Nakamura T. 2001. ""Hepatocyte growth factor prevents the development of chronic allograft nephropathy in rats."" , Journal of the American Society of Nephrology : JASN, vol.12, no.6, pp-1280-92"
99,"Womer KL, Lee RS, Madsen JC, Sayegh MH. 2001. ""Tolerance and chronic rejection."" , Philosophical transactions of the Royal Society of London. Series B, Biological sciences, vol.356, no.1409, pp-727-38"
100,"Womer KL, Sayegh MH, Auchincloss H. 2001. ""Involvement of the direct and indirect pathways of allorecognition in tolerance induction."" , Philosophical transactions of the Royal Society of London. Series B, Biological sciences, vol.356, no.1409, pp-639-47"
101,"Waaga AM, Gasser M, Kist-van Holthe JE, Najafian N, Müller A, Vella JP, Womer KL, Chandraker A, Khoury SJ, Sayegh MH. 2001. ""Regulatory functions of self-restricted MHC class II allopeptide-specific Th2 clones in vivo."" , The Journal of clinical investigation, vol.107, no.7, pp-909-16"
102,"Mandelbrot DA, Oosterwege"
103,"Keblawi, A., et al. 2009. ""Chilled ceiling displacement ventilation design charts correlations to employ in optimized system operation for feasible load ranges"" , Energy and Buildings, vol.41, no.11, pp-1155-1164"
104,"Al-Othmani, M., Ghali, K., and Ghaddar, N. 2009. ""Experimental and theoretical study of transient human thermal comfort response in convective and radiative environments"" , HVAC and R Research, vol.15, no.5, pp-855-873"
105,"Ghali, K., et al. 2009. ""Simplified Heat Transport Model of a Wind-permeable Clothed Cylinder Subject to Swinging Motion"" , Textile Research Journal, vol.79, no.11, pp-1043-1055"
106,"Mossolly, M., Ghali, K., and Ghaddar, N. 2009. ""Optimal control strategy for a multi-zone air conditioning system using a genetic algorithm"" , Energy, vol.34, no.1, pp-58-66"
107,"Bahman, A., et al. 2009. ""Performance Comparison of Conventional and Chilled Ceiling/Displacement Ventilation Systems in Kuwait"" , ASHRAE TRANSACTIONS 2009, VOL 115, PT 1, vol.115, no.2, pp-587-594"
108,"Al-Othmani, M., Ghaddar, N., and Ghali, K. 2008. ""A multi-segmented human bioheat model for transient and asymmetric radiative environments"" , International Journal of Heat and Mass Transfer, vol.51, no.23-24, pp-5522-5533"
